customer_sk,customer_id,customer_key,customer_name,marital_status,gender,birth_date,country,customer_create_date
0,11190,AW00011190,Carson Bryant,Married,Male,1949-12-20,United States,2025-10-07
1,11276,AW00011276,Nancy Chapman,Married,Female,1974-09-15,Canada,2025-10-08
2,11434,AW00011434,Andre Lopez,Married,Male,1962-05-02,United Kingdom,2025-10-08
3,11567,AW00011567,Carla Perez,Married,Female,1978-09-19,Germany,2025-10-08
4,11619,AW00011619,Sierra Young,Single,Female,1978-10-29,Canada,2025-10-08
5,11625,AW00011625,Zachary Moore,Married,Male,1978-07-19,United States,2025-10-08
6,11745,AW00011745,Allison Gonzalez,Married,Female,1964-04-11,United States,2025-10-08
7,11938,AW00011938,Seth Alexander,Married,Male,1983-03-21,United States,2025-10-08
8,11945,AW00011945,Dennis Huang,Married,Male,1986-03-11,United States,2025-10-08
9,12044,AW00012044,Madeline Lopez,Single,Female,1979-11-24,United States,2025-10-08
10,12568,AW00012568,Stacey Ye,Married,Female,1947-12-14,United Kingdom,2025-10-08
11,13098,AW00013098,Miguel Russell,Married,Male,1963-04-06,United States,2025-10-12
12,13248,AW00013248,Isabella Martinez,Married,Female,1957-09-03,United States,2025-10-12
13,13401,AW00013401,Erin Bradley,Single,Female,1963-02-18,United States,2025-10-12
14,13452,AW00013452,Kaitlyn Evans,Married,Female,1966-09-10,United States,2025-10-12
15,13460,AW00013460,Jasmine Walker,Single,Female,1960-03-20,Canada,2025-10-12
16,13518,AW00013518,Brendan Goldstein,Single,Male,1985-01-11,Australia,2025-10-12
17,13638,AW00013638,Diana Alvarez,Single,Female,1978-01-09,Australia,2025-10-12
18,13723,AW00013723,Leonard Raje,Married,Male,1965-08-02,United States,2025-10-12
19,14117,AW00014117,Emma Cook,Single,Female,1974-04-22,United States,2025-10-12
20,14719,AW00014719,Ronnie He,Married,Male,1975-10-06,France,2025-10-12
21,14846,AW00014846,Kelsey Chande,Single,Female,1985-11-09,United Kingdom,2025-10-12
22,15057,AW00015057,Regina Chandra,Single,Female,1970-06-23,United Kingdom,2025-10-12
23,15173,AW00015173,Miguel Henderson,Single,Male,1981-04-13,United States,2025-10-12
24,15194,AW00015194,Erik Suarez,Single,Male,1977-11-20,United States,2025-10-30
25,15237,AW00015237,Devon Lal,Married,Male,1976-10-11,Australia,2025-12-12
26,15322,AW00015322,Evan Green,Married,Male,1958-08-06,United States,2025-12-24
27,15371,AW00015371,Cameron Bryant,Married,Male,1961-09-01,United States,2026-01-04
28,15375,AW00015375,Alisha Chande,Single,Female,1940-03-14,United States,2026-01-04
29,15432,AW00015432,Alvin Kumar,Single,Male,1984-02-15,United States,2026-01-04
30,15437,AW00015437,Candace Srini,Married,Female,1952-12-19,Australia,2026-01-04
31,15663,AW00015663,Mandy Chen,Married,Female,1965-01-05,France,2026-01-04
32,15846,AW00015846,Julian Flores,Single,Male,1979-09-06,Canada,2026-01-04
33,16530,AW00016530,Priscilla Chander,Married,Female,1949-04-16,United Kingdom,2026-01-04
34,16597,AW00016597,Kelli Xu,Single,Female,1956-09-11,Germany,2026-01-04
35,16742,AW00016742,Mitchell Pal,Married,Male,1946-05-12,Australia,2026-01-04
36,16896,AW00016896,Natalie Perez,Married,Female,1958-04-20,United States,2026-01-04
37,17043,AW00017043,Isabella Bennett,Married,Female,1974-09-22,United States,2026-01-04
38,17048,AW00017048,Natasha Gutierrez,Single,Female,1986-03-14,Australia,2026-01-04
39,17499,AW00017499,Marcus Campbell,Single,Male,1985-11-20,United States,2026-01-04
40,17703,AW00017703,Pamela Fernandez,Married,Female,1971-08-18,France,2026-01-04
41,17971,AW00017971,Mayra Perez,Single,Female,1973-10-23,France,2026-01-04
42,17979,AW00017979,Lisa Lin,Married,Female,1974-03-02,United Kingdom,2026-01-04
43,18147,AW00018147,Katrina Luo,Married,Female,1950-04-22,United Kingdom,2026-01-04
44,18196,AW00018196,Ivan Rana,Married,Male,1979-09-20,Australia,2026-01-04
45,18295,AW00018295,Ajay Solanki,Married,Female,1965-01-05,Australia,2026-01-04
46,18348,AW00018348,Katelyn Roberts,Single,Female,1980-05-01,United States,2026-01-04
47,18628,AW00018628,Suzanne Yang,Single,Female,1977-03-14,France,2026-01-04
48,18730,AW00018730,Johnathan Arthur,Married,Male,1964-10-07,Australia,2026-01-04
49,19141,AW00019141,Samuel Martinez,Single,Male,1971-08-30,United States,2026-01-05
50,19158,AW00019158,Destiny Griffin,Single,Female,1975-03-15,United States,2026-01-05
51,19163,AW00019163,Riley Bailey,Married,Female,1979-10-18,United States,2026-01-05
52,19771,AW00019771,Tasha Jai,Married,Female,1958-01-08,Australia,2026-01-05
53,19907,AW00019907,Bruce Diaz,Married,Male,1961-04-03,France,2026-01-05
54,19979,AW00019979,Janet Browning,Married,Female,1977-06-22,Australia,2026-01-05
55,20532,AW00020532,Joan Watson,Married,Female,1961-04-19,,2026-01-05
56,21209,AW00021209,Randall Moreno,Single,Male,1970-12-17,Australia,2026-01-05
57,21223,AW00021223,Evelyn Suri,Single,Female,1967-03-24,Australia,2026-01-05
58,21342,AW00021342,Tonya Xie,Married,Female,1944-05-21,,2026-01-05
59,21899,AW00021899,Marie Vazquez,Married,Female,1982-04-06,Australia,2026-01-05
60,21965,AW00021965,Bethany Raheem,Married,Female,1972-02-21,Australia,2026-01-05
61,22129,AW00022129,Chloe Hall,Married,Female,,United States,2026-01-05
62,22165,AW00022165,Aaron Perez,Married,Male,,United States,2026-01-05
63,22201,AW00022201,Lindsey Luo,Married,Female,,Australia,2026-01-05
64,22245,AW00022245,Evan Lopez,Single,Male,,United States,2026-01-05
65,22429,AW00022429,Jesse Reed,Married,Male,,United Kingdom,2026-01-05
66,23019,AW00023019,Emma Garcia,Married,Female,,United States,2026-01-05
67,23116,AW00023116,Jerome Vazquez,Single,Male,,Australia,2026-01-05
68,23492,AW00023492,Jamie Blanco,Single,Male,,United States,2026-01-05
69,23506,AW00023506,Jesse Campbell,Single,Male,,United States,2026-01-05
70,23766,AW00023766,Cassandra Martinez,Single,Female,,Germany,2026-01-05
71,25084,AW00025084,Dalton James,Married,Male,,United States,2026-01-05
72,25207,AW00025207,Destiny Moore,Single,Female,,United States,2026-01-05
73,25479,AW00025479,Bobby Sanchez,Married,Male,,France,2026-01-05
74,25649,AW00025649,Trinity Morgan,Single,Female,,France,2026-01-14
75,25826,AW00025826,Nathaniel Watson,Married,Male,,Australia,2026-01-14
76,26486,AW00026486,Andrea Cook,Married,Female,,United States,2026-01-14
77,26543,AW00026543,Susan Guo,Single,Female,,Australia,2026-01-14
78,27255,AW00027255,Xavier Rivera,Married,Male,,United States,2026-01-14
79,27469,AW00027469,Anne Gill,Single,Female,,Australia,2026-01-14
80,27563,AW00027563,Devin Bennett,Married,Male,,United States,2026-01-14
81,27651,AW00027651,Jeremy Murphy,Married,Male,,United States,2026-01-25
82,27919,AW00027919,Ryan Lal,Single,Male,,United States,2026-01-25
83,28078,AW00028078,Jack Young,Single,Male,,United States,2026-01-25
84,28242,AW00028242,Madison Butler,Married,Female,,United States,2026-01-25
85,28728,AW00028728,Dylan Long,Single,Male,,France,2026-01-25
86,28762,AW00028762,Aaron Henderson,Married,Male,,United States,2026-01-25
87,29018,AW00029018,Drew Luo,Married,Male,,United States,2026-01-25
88,29089,AW00029089,Noah Henderson,Single,Male,,United States,2026-01-25
8589934592,11270,AW00011270,Robert Lee,Married,Male,1975-05-01,United States,2025-10-08
8589934593,11309,AW00011309,Victoria Lewis,Single,Female,1959-12-10,United States,2025-10-08
8589934594,11495,AW00011495,Francis Jimenez,Single,Male,1977-03-03,Germany,2025-10-08
8589934595,11593,AW00011593,Armando Moreno,Single,Male,1982-09-22,France,2025-10-08
8589934596,11771,AW00011771,Isaac Rivera,Single,Male,1979-04-07,United States,2025-10-08
8589934597,11860,AW00011860,Nicole Walker,Married,Female,1967-07-09,United States,2025-10-08
8589934598,12148,AW00012148,Gabrielle Morris,Single,Female,1970-06-05,United States,2025-10-08
8589934599,12936,AW00012936,Renee Moreno,Single,Female,1970-09-24,Canada,2025-10-12
8589934600,12967,AW00012967,Fernando Rodriguez,Married,Male,1966-10-08,United States,2025-10-12
8589934601,13206,AW00013206,Emily Flores,Single,Female,1956-06-18,Canada,2025-10-12
8589934602,13240,AW00013240,Blake Foster,Married,Male,1960-11-05,United States,2025-10-12
8589934603,13299,AW00013299,Vanessa Ross,Married,Female,1967-04-14,United States,2025-10-12
8589934604,13658,AW00013658,Wyatt Bennett,Married,Male,1946-09-10,United States,2025-10-12
8589934605,14029,AW00014029,Christina Morris,Married,Female,1982-02-19,United States,2025-10-12
8589934606,14259,AW00014259,Antonio Flores,Single,Male,1958-08-31,Australia,2025-10-12
8589934607,14361,AW00014361,Franklin Raje,Married,Male,1964-07-23,United States,2025-10-12
8589934608,14531,AW00014531,Abigail Garcia,Married,Female,1967-07-21,United Kingdom,2025-10-12
8589934609,14805,AW00014805,Kari Garcia,Single,Female,1974-06-18,Germany,2025-10-12
8589934610,14832,AW00014832,Barry Rana,Married,Male,1980-04-30,United Kingdom,2025-10-12
8589934611,15221,AW00015221,Troy Arun,Single,Male,1975-03-08,Australia,2025-11-26
8589934612,15758,AW00015758,Arturo Andersen,Married,Male,1969-05-22,Australia,2026-01-04
8589934613,15921,AW00015921,Donald Patel,Single,Male,1968-11-22,France,2026-01-04
8589934614,16441,AW00016441,Jason Young,Married,Male,1984-09-08,Germany,2026-01-04
8589934615,16673,AW00016673,Curtis Guo,Single,Male,1979-11-05,United States,2026-01-04
8589934616,16781,AW00016781,Dylan Chen,Married,Male,1950-12-16,United States,2026-01-04
8589934617,17370,AW00017370,Edwin Chander,Married,Male,1950-01-09,Australia,2026-01-04
8589934618,17595,AW00017595,Benjamin Garcia,Married,Male,1983-10-01,Canada,2026-01-04
8589934619,18026,AW00018026,Alisha He,Married,Female,1969-04-26,United Kingdom,2026-01-04
8589934620,18117,AW00018117,Fernando Washington,Single,Male,1969-01-18,United States,2026-01-04
8589934621,18404,AW00018404,Alicia Raji,Married,Female,1967-02-04,United States,2026-01-04
8589934622,18598,AW00018598,Norimichi Yonekura,Single,Male,1975-03-16,United States,2026-01-04
